name,category,score,score_count,review_count,address,detail_url
가장맛있는족발 선정릉점,"족발,보쌈",2.7,6,14,서울 강남구 봉은사로57길 5,https://place.map.kakao.com/1254514866
미우가,갈비,2.3,11,17,서울 강남구 언주로113길 14 1층,https://place.map.kakao.com/94505617
명우돈가,"육류,고기",4.3,23,41,서울 강남구 삼성로96길 6,https://place.map.kakao.com/27522546
땅코참숯구이 논현직영점,"육류,고기",4.4,34,63,서울 강남구 언주로134길 13 1층,https://place.map.kakao.com/419923613
강남쪽갈비,갈비,4.7,16,30,서울 강남구 선릉로131길 24 1층,https://place.map.kakao.com/226730988
아우정,"육류,고기",4.3,6,16,"서울 강남구 테헤란로87길 45 보현빌딩 1, 2층",https://place.map.kakao.com/830612493
원조한방정통삼계탕,삼계탕,3.1,18,48,서울 강남구 테헤란로81길 35,https://place.map.kakao.com/10941062
쇠뚜레,갈비,3.9,14,355,서울 강남구 언주로94길 9-5,https://place.map.kakao.com/21133288
동래정 선릉직영점,"육류,고기",4.7,52,213,서울 강남구 언주로98길 20 1층 101호,https://place.map.kakao.com/1829044826
초가집,닭요리,4.6,11,13,서울 강남구 봉은사로74길 18,https://place.map.kakao.com/17640526
일언족발 본점,"족발,보쌈",4.9,10,5,서울 강남구 봉은사로37길 11 1층,https://place.map.kakao.com/19635600
슐미랭삼 선릉점,삼겹살,4.4,21,30,서울 강남구 선릉로100길 32,https://place.map.kakao.com/841359930
고메고매 선릉직영점,"육류,고기",3.7,13,29,서울 강남구 삼성로85길 38 우정에쉐르빌딩 지하1층,https://place.map.kakao.com/8647735
청담영양센터,닭요리,3.1,27,46,서울 강남구 학동로87길 7,https://place.map.kakao.com/8088448
먹어도돼지,"육류,고기",2.8,8,19,서울 강남구 학동로56길 32 1층,https://place.map.kakao.com/1759861756
갈비삼대참숯구이전문 강남역삼점,갈비,4.5,12,26,서울 강남구 언주로93길 32-6,https://place.map.kakao.com/27315759
보름쇠 삼성점,"육류,고기",4.0,43,47,서울 강남구 테헤란로81길 36,https://place.map.kakao.com/27201586
하몽하몽이베리코 역삼점,삼겹살,4.6,20,279,서울 강남구 언주로93길 25 1층 101호,https://place.map.kakao.com/1353935275
봉피양 청담점,갈비,3.5,22,47,서울 강남구 삼성로147길 36,https://place.map.kakao.com/18425959
삼성집,"육류,고기",4.6,9,72,서울 강남구 테헤란로83길 44 1층,https://place.map.kakao.com/964760083
우천식육식당 강남구청점,"육류,고기",4.7,3,47,서울 강남구 선릉로127길 6 1층,https://place.map.kakao.com/709857238
